row_index,country,gold,base_prediction,alternate_prediction,raw_prediction_preview
55,sudan,yes,invalid,neutral,neutral
74,tonga,yes,invalid,neutral,neutral
76,tonga,yes,invalid,neutral,neutral
81,tonga,yes,invalid,neutral,neutral
93,hong_kong,yes,invalid,neutral,neutral
103,colombia,yes,invalid,neutral,neutral
119,vietnam,yes,invalid,neutral,neutral
120,north_macedonia,yes,invalid,neutral,neutral
147,canada,yes,invalid,neutral,neutral
152,canada,yes,invalid,neutral,neutral
157,iraq,yes,invalid,neutral,neutral
161,iraq,yes,invalid,neutral,neutral
186,singapore,yes,invalid,neutral,neutral
189,timor-leste,yes,invalid,neutral,neutral
190,timor-leste,yes,invalid,neutral,neutral
196,timor-leste,yes,invalid,neutral,neutral
209,poland,yes,invalid,neutral,neutral
230,mexico,yes,invalid,neutral,neutral
233,mexico,yes,invalid,neutral,neutral
291,sweden,yes,invalid,neutral,neutral
307,south_korea,yes,invalid,neutral,neutral
338,china,yes,invalid,neutral,neutral
340,china,yes,invalid,neutral,neutral
361,germany,yes,invalid,neutral,neutral
394,russia,yes,invalid,neutral,neutral
418,bangladesh,yes,invalid,neutral,neutral
435,portugal,yes,invalid,neutral,neutral
461,ireland,yes,invalid,neutral,neutral
463,ireland,yes,invalid,neutral,neutral
486,croatia,yes,invalid,neutral,neutral
496,mauritius,yes,invalid,neutral,neutral
497,mauritius,yes,invalid,neutral,neutral
498,mauritius,yes,invalid,neutral,neutral
499,mauritius,yes,invalid,neutral,neutral
502,fiji,yes,invalid,neutral,neutral
526,brazil,yes,invalid,neutral,neutral
532,brazil,yes,invalid,neutral,neutral
545,chile,yes,invalid,neutral,neutral
548,chile,yes,invalid,neutral,neutral
553,chile,yes,invalid,neutral,neutral
577,afghanistan,yes,invalid,neutral,neutral
579,afghanistan,yes,invalid,neutral,neutral
580,afghanistan,yes,invalid,neutral,neutral
582,afghanistan,yes,invalid,neutral,neutral
586,japan,yes,invalid,neutral,neutral
592,japan,yes,invalid,neutral,neutral
648,malaysia,yes,invalid,neutral,neutral
676,bosnia_and_herzegovina,yes,invalid,neutral,neutral
680,palestinian_territories,yes,invalid,neutral,neutral
697,syria,yes,invalid,neutral,neutral
702,kenya,yes,invalid,neutral,neutral
720,new_zealand,yes,invalid,neutral,neutral
726,peru,yes,invalid,neutral,neutral
727,peru,yes,invalid,neutral,neutral
743,laos,yes,invalid,neutral,neutral
773,iran,yes,invalid,neutral,neutral
781,iran,yes,invalid,neutral,neutral
795,greece,yes,invalid,neutral,neutral
827,israel,yes,invalid,neutral,neutral
836,israel,yes,invalid,neutral,neutral
838,hungary,yes,invalid,neutral,neutral
860,samoa,yes,invalid,neutral,neutral
889,cambodia,yes,invalid,neutral,neutral
898,cambodia,yes,invalid,neutral,neutral
923,lebanon,no,invalid,neutral,neutral
980,spain,no,invalid,neutral,neutral
1026,north_macedonia,no,invalid,neutral,neutral
1029,north_macedonia,no,invalid,neutral,neutral
1124,pakistan,yes,invalid,neutral,neutral
1171,somalia,no,invalid,neutral,neutral
1172,somalia,no,invalid,neutral,neutral
1197,sweden,no,invalid,neutral,neutral
1228,malta,no,invalid,neutral,neutral
1270,ukraine,no,invalid,neutral,neutral
1319,bangladesh,no,invalid,neutral,neutral
1328,portugal,no,invalid,neutral,neutral
1399,mauritius,yes,invalid,neutral,neutral
1401,mauritius,yes,invalid,neutral,neutral
1438,south_africa,no,invalid,neutral,neutral
1482,afghanistan,yes,invalid,neutral,neutral
1522,sri_lanka,no,invalid,neutral,neutral
1576,bosnia_and_herzegovina,no,invalid,neutral,neutral
1581,palestinian_territories,no,invalid,neutral,neutral
1602,kenya,no,invalid,neutral,neutral
1609,new_zealand,yes,invalid,neutral,neutral
1647,cyprus,no,invalid,neutral,neutral
1666,india,no,invalid,neutral,neutral
1667,india,no,invalid,neutral,neutral
1714,saudi_arabia,no,invalid,neutral,neutral
1732,israel,no,invalid,neutral,neutral
1733,israel,no,invalid,neutral,neutral
1809,russia,yes,invalid,neutral,neutral
1813,mauritius,no,invalid,neutral,neutral
1815,iran,yes,invalid,neutral,neutral
1823,austria,neutral,invalid,neutral,neutral
1829,austria,neutral,invalid,neutral,neutral
1834,poland,neutral,invalid,neutral,neutral
1838,somalia,neutral,invalid,neutral,neutral
1846,somalia,neutral,invalid,neutral,neutral
1847,somalia,neutral,invalid,neutral,neutral
1848,somalia,neutral,invalid,neutral,neutral
1850,somalia,neutral,invalid,neutral,neutral
1851,brazil,neutral,invalid,neutral,neutral
1857,syria,neutral,invalid,neutral,neutral
1859,syria,neutral,invalid,neutral,neutral
1866,tonga,neutral,invalid,neutral,neutral
1867,tonga,neutral,invalid,neutral,neutral
1873,tonga,neutral,invalid,neutral,neutral
1879,tonga,neutral,invalid,neutral,neutral
1880,south_africa,neutral,invalid,neutral,neutral
1885,south_africa,neutral,invalid,neutral,neutral
1888,south_africa,neutral,invalid,neutral,neutral
1889,samoa,neutral,invalid,neutral,neutral
1892,south_africa,neutral,invalid,neutral,neutral
1894,samoa,neutral,invalid,neutral,neutral
1896,samoa,neutral,invalid,neutral,neutral
1897,samoa,neutral,invalid,neutral,neutral
1898,samoa,neutral,invalid,neutral,neutral
1905,peru,neutral,invalid,neutral,neutral
1906,peru,neutral,invalid,neutral,neutral
1910,peru,neutral,invalid,neutral,neutral
1916,philippines,neutral,invalid,neutral,neutral
1921,philippines,neutral,invalid,neutral,neutral
1926,malta,neutral,invalid,neutral,neutral
1929,colombia,neutral,invalid,neutral,neutral
1934,malta,neutral,invalid,neutral,neutral
1939,pakistan,neutral,invalid,neutral,neutral
1940,pakistan,neutral,invalid,neutral,neutral
1945,pakistan,neutral,invalid,neutral,neutral
1947,pakistan,neutral,invalid,neutral,neutral
1955,malta,neutral,invalid,neutral,neutral
1962,bosnia_and_herzegovina,neutral,invalid,neutral,neutral
1963,bosnia_and_herzegovina,neutral,invalid,neutral,neutral
1969,bosnia_and_herzegovina,neutral,invalid,neutral,neutral
1971,bosnia_and_herzegovina,neutral,invalid,neutral,neutral
1973,sri_lanka,neutral,invalid,neutral,neutral
1978,sri_lanka,neutral,invalid,neutral,neutral
1979,timor-leste,neutral,invalid,neutral,neutral
1984,timor-leste,neutral,invalid,neutral,neutral
1991,kenya,neutral,invalid,neutral,neutral
2004,fiji,neutral,invalid,neutral,neutral
2008,timor-leste,neutral,invalid,neutral,neutral
2011,france,neutral,invalid,neutral,neutral
2014,timor-leste,neutral,invalid,neutral,neutral
2029,france,neutral,invalid,neutral,neutral
2030,france,neutral,invalid,neutral,neutral
2033,bangladesh,neutral,invalid,neutral,neutral
2034,nepal,neutral,invalid,neutral,neutral
2035,bangladesh,neutral,invalid,neutral,neutral
2037,nepal,neutral,invalid,neutral,neutral
2039,nepal,neutral,invalid,neutral,neutral
2061,bangladesh,neutral,invalid,neutral,neutral
2070,ukraine,neutral,invalid,neutral,neutral
