row_index,country,gold,initial,final,cluster
0,egypt,yes,yes,yes,1
1,egypt,yes,yes,yes,3
2,egypt,yes,yes,yes,1
3,egypt,yes,yes,yes,1
4,egypt,yes,yes,yes,1
5,egypt,yes,yes,yes,1
6,egypt,yes,yes,yes,3
7,egypt,yes,yes,yes,3
8,egypt,yes,yes,yes,0
9,egypt,yes,yes,yes,1
10,egypt,yes,yes,yes,1
11,egypt,yes,yes,yes,2
12,lebanon,yes,yes,yes,1
13,lebanon,yes,no,yes,1
14,lebanon,yes,yes,yes,3
15,lebanon,yes,yes,yes,3
16,lebanon,yes,yes,yes,0
17,lebanon,yes,yes,yes,1
18,lebanon,yes,yes,yes,2
19,lebanon,yes,yes,yes,3
20,lebanon,yes,yes,yes,1
21,zimbabwe,yes,yes,yes,3
22,zimbabwe,yes,yes,yes,1
23,zimbabwe,yes,yes,yes,0
24,zimbabwe,yes,yes,yes,3
25,zimbabwe,yes,yes,yes,1
26,zimbabwe,yes,yes,yes,3
27,zimbabwe,yes,yes,yes,1
28,zimbabwe,yes,yes,yes,1
29,zimbabwe,yes,yes,yes,1
30,zimbabwe,yes,yes,yes,3
31,zimbabwe,yes,yes,yes,2
32,zimbabwe,yes,yes,yes,3
33,philippines,yes,yes,yes,1
34,philippines,yes,yes,yes,1
35,philippines,yes,yes,yes,3
36,philippines,yes,yes,yes,2
37,philippines,yes,yes,yes,2
38,philippines,yes,yes,yes,3
39,philippines,yes,yes,yes,1
40,philippines,yes,yes,yes,2
41,philippines,yes,yes,yes,2
42,philippines,yes,yes,yes,3
43,philippines,yes,yes,yes,1
44,philippines,yes,yes,yes,2
45,sudan,yes,yes,yes,1
46,sudan,yes,yes,yes,1
47,sudan,yes,yes,yes,1
48,sudan,yes,yes,yes,2
49,sudan,yes,yes,yes,2
50,sudan,yes,yes,yes,2
51,sudan,yes,yes,yes,3
52,sudan,yes,yes,yes,3
53,sudan,yes,yes,yes,1
54,sudan,yes,yes,yes,1
55,sudan,yes,yes,yes,2
56,sudan,yes,yes,yes,0
57,sudan,yes,yes,yes,2
58,sudan,yes,yes,yes,2
59,sudan,yes,yes,yes,1
60,spain,yes,yes,yes,0
61,spain,yes,yes,yes,3
62,spain,yes,yes,yes,2
63,spain,yes,yes,yes,2
64,spain,yes,yes,yes,2
65,spain,yes,yes,yes,0
66,spain,yes,yes,yes,1
67,spain,yes,yes,yes,0
68,spain,yes,yes,yes,0
69,spain,yes,yes,yes,1
70,spain,yes,yes,yes,0
71,spain,yes,yes,yes,1
72,tonga,yes,yes,yes,1
73,tonga,yes,yes,yes,2
74,tonga,yes,yes,yes,3
75,tonga,yes,yes,yes,3
76,tonga,yes,yes,yes,1
77,tonga,yes,yes,yes,1
78,tonga,yes,yes,yes,1
79,tonga,yes,yes,yes,1
80,tonga,yes,yes,yes,2
81,tonga,yes,yes,yes,0
82,tonga,yes,yes,yes,1
83,tonga,yes,yes,yes,2
84,hong_kong,yes,yes,yes,1
85,hong_kong,yes,yes,yes,1
86,hong_kong,yes,yes,yes,1
87,hong_kong,yes,yes,yes,1
88,hong_kong,yes,yes,yes,0
89,hong_kong,yes,yes,yes,2
90,hong_kong,yes,yes,yes,3
91,hong_kong,yes,yes,yes,3
92,hong_kong,yes,yes,yes,1
93,hong_kong,yes,yes,yes,0
94,hong_kong,yes,yes,yes,1
95,hong_kong,yes,yes,yes,0
96,colombia,yes,yes,yes,1
97,colombia,yes,yes,yes,1
98,colombia,yes,yes,yes,1
99,colombia,yes,yes,yes,2
100,colombia,yes,yes,yes,3
101,colombia,yes,no,yes,2
102,colombia,yes,yes,yes,1
103,colombia,yes,yes,yes,2
104,colombia,yes,yes,yes,2
105,colombia,yes,yes,yes,2
106,colombia,yes,yes,yes,2
107,colombia,yes,yes,yes,2
108,vietnam,yes,yes,yes,1
109,vietnam,yes,yes,yes,2
110,vietnam,yes,yes,yes,1
111,vietnam,yes,yes,yes,1
112,vietnam,yes,yes,yes,2
113,vietnam,yes,yes,yes,3
114,vietnam,yes,yes,yes,2
115,vietnam,yes,yes,yes,1
116,vietnam,yes,yes,yes,2
117,vietnam,yes,yes,yes,1
118,vietnam,yes,yes,yes,1
119,vietnam,yes,yes,yes,2
120,north_macedonia,yes,yes,yes,1
121,north_macedonia,yes,no,yes,3
122,north_macedonia,yes,yes,yes,1
123,north_macedonia,yes,yes,yes,1
124,north_macedonia,yes,yes,yes,1
125,north_macedonia,yes,yes,yes,2
126,north_macedonia,yes,yes,yes,1
127,north_macedonia,yes,yes,yes,2
128,north_macedonia,yes,yes,yes,3
129,north_macedonia,yes,yes,yes,1
130,north_macedonia,yes,yes,yes,2
131,italy,yes,yes,yes,1
132,italy,yes,yes,yes,3
133,italy,yes,yes,yes,3
134,italy,yes,yes,yes,3
135,italy,yes,yes,yes,3
136,italy,yes,yes,yes,1
137,italy,yes,yes,yes,2
138,italy,yes,yes,yes,3
139,italy,yes,yes,yes,1
140,italy,yes,yes,yes,1
141,italy,yes,yes,yes,1
142,italy,yes,yes,yes,2
143,canada,yes,yes,yes,3
144,canada,yes,yes,yes,2
145,canada,yes,yes,yes,2
146,canada,yes,yes,yes,2
147,canada,yes,yes,yes,1
148,canada,yes,yes,yes,1
149,canada,yes,yes,yes,1
150,canada,yes,yes,yes,3
151,canada,yes,yes,yes,3
152,canada,yes,yes,yes,2
153,canada,yes,yes,yes,2
154,canada,yes,yes,yes,3
155,iraq,yes,yes,yes,0
156,iraq,yes,yes,yes,1
157,iraq,yes,yes,yes,2
158,iraq,yes,yes,yes,0
159,iraq,yes,yes,yes,1
160,iraq,yes,yes,yes,1
161,iraq,yes,yes,yes,1
162,iraq,yes,yes,yes,2
163,iraq,yes,yes,yes,1
164,iraq,yes,yes,yes,2
165,iraq,yes,yes,yes,2
166,iraq,yes,yes,yes,2
167,united_kingdom,yes,yes,yes,2
168,united_kingdom,yes,yes,yes,1
169,united_kingdom,yes,yes,yes,3
170,united_kingdom,yes,yes,yes,1
171,united_kingdom,no,yes,yes,1
172,united_kingdom,yes,yes,yes,0
173,united_kingdom,yes,yes,yes,3
174,united_kingdom,yes,yes,yes,1
175,united_kingdom,yes,yes,yes,1
176,singapore,yes,yes,yes,3
177,singapore,yes,yes,yes,3
178,singapore,yes,yes,yes,2
179,singapore,yes,yes,yes,3
180,singapore,yes,yes,yes,1
181,singapore,yes,yes,yes,0
182,singapore,yes,yes,yes,1
183,singapore,yes,yes,yes,1
184,singapore,yes,yes,yes,2
185,singapore,yes,yes,yes,1
186,singapore,yes,yes,yes,2
187,singapore,yes,yes,yes,1
