row_index,country,gold,initial,final,cluster
0,egypt,yes,yes,yes,3
1,egypt,yes,yes,yes,3
2,egypt,yes,yes,yes,3
3,egypt,yes,yes,yes,3
4,egypt,yes,yes,yes,3
5,egypt,yes,yes,yes,3
6,egypt,yes,yes,yes,3
7,egypt,yes,yes,yes,0
8,egypt,yes,yes,yes,0
9,egypt,yes,yes,yes,3
10,egypt,yes,yes,yes,3
11,egypt,yes,yes,yes,0
12,lebanon,yes,yes,yes,3
13,lebanon,yes,yes,yes,2
14,lebanon,yes,yes,yes,3
15,lebanon,yes,yes,yes,3
16,lebanon,yes,yes,yes,0
17,lebanon,yes,yes,yes,3
18,lebanon,yes,yes,yes,2
19,lebanon,yes,yes,yes,3
20,lebanon,yes,yes,yes,3
21,zimbabwe,yes,yes,yes,3
22,zimbabwe,yes,yes,yes,3
23,zimbabwe,yes,yes,yes,0
24,zimbabwe,yes,yes,yes,3
25,zimbabwe,yes,yes,yes,3
26,zimbabwe,yes,yes,yes,3
27,zimbabwe,yes,yes,yes,3
28,zimbabwe,yes,yes,yes,2
29,zimbabwe,yes,yes,yes,3
30,zimbabwe,yes,yes,yes,0
31,zimbabwe,yes,yes,yes,0
32,zimbabwe,yes,yes,yes,3
33,philippines,yes,yes,yes,2
34,philippines,yes,yes,yes,1
35,philippines,yes,yes,yes,2
36,philippines,yes,yes,yes,3
37,philippines,yes,yes,yes,3
38,philippines,yes,yes,yes,3
39,philippines,yes,yes,yes,3
40,philippines,yes,yes,yes,2
41,philippines,yes,yes,yes,0
42,philippines,yes,yes,yes,3
43,philippines,yes,yes,yes,3
44,philippines,yes,yes,yes,3
45,sudan,yes,yes,yes,2
46,sudan,yes,yes,yes,2
47,sudan,yes,yes,yes,2
48,sudan,yes,yes,yes,3
49,sudan,yes,yes,no,2
50,sudan,yes,yes,yes,3
51,sudan,yes,yes,yes,3
52,sudan,yes,yes,yes,3
53,sudan,yes,yes,yes,3
54,sudan,yes,yes,yes,3
55,sudan,yes,yes,yes,3
56,sudan,yes,yes,yes,0
57,sudan,yes,yes,yes,3
58,sudan,yes,yes,yes,3
59,sudan,yes,yes,yes,3
60,spain,yes,yes,yes,0
61,spain,yes,yes,yes,3
62,spain,yes,yes,yes,0
63,spain,yes,yes,yes,3
64,spain,yes,yes,yes,3
65,spain,yes,yes,yes,0
66,spain,yes,yes,yes,3
67,spain,yes,yes,yes,0
68,spain,yes,yes,yes,0
69,spain,yes,yes,yes,3
70,spain,yes,yes,yes,0
71,spain,yes,yes,yes,3
72,tonga,yes,yes,yes,3
73,tonga,yes,yes,yes,1
74,tonga,yes,yes,yes,1
75,tonga,yes,yes,yes,3
76,tonga,yes,yes,yes,3
77,tonga,yes,yes,yes,3
78,tonga,yes,yes,yes,3
79,tonga,yes,yes,yes,3
80,tonga,yes,yes,yes,0
81,tonga,yes,yes,yes,0
82,tonga,yes,yes,yes,3
83,tonga,yes,yes,yes,3
84,hong_kong,yes,yes,yes,3
85,hong_kong,yes,yes,yes,2
86,hong_kong,yes,yes,yes,3
87,hong_kong,yes,yes,yes,2
88,hong_kong,yes,yes,yes,0
89,hong_kong,yes,yes,yes,0
90,hong_kong,yes,yes,yes,3
91,hong_kong,yes,yes,yes,3
92,hong_kong,yes,yes,yes,3
93,hong_kong,yes,yes,yes,0
94,hong_kong,yes,yes,yes,3
95,hong_kong,yes,yes,yes,0
96,colombia,yes,yes,yes,2
97,colombia,yes,yes,yes,3
98,colombia,yes,yes,yes,3
99,colombia,yes,yes,yes,3
100,colombia,yes,yes,yes,3
101,colombia,yes,yes,yes,2
102,colombia,yes,yes,yes,2
103,colombia,yes,yes,yes,2
104,colombia,yes,yes,yes,3
105,colombia,yes,yes,yes,1
106,colombia,yes,yes,yes,0
107,colombia,yes,yes,yes,3
108,vietnam,yes,yes,yes,3
109,vietnam,yes,yes,yes,3
110,vietnam,yes,yes,yes,3
111,vietnam,yes,yes,yes,3
112,vietnam,yes,yes,yes,3
113,vietnam,yes,yes,yes,3
114,vietnam,yes,yes,yes,3
115,vietnam,yes,yes,yes,2
116,vietnam,yes,yes,yes,2
117,vietnam,yes,yes,yes,3
118,vietnam,yes,yes,yes,3
119,vietnam,yes,yes,yes,2
120,north_macedonia,yes,no,neutral,1
121,north_macedonia,yes,no,no,3
122,north_macedonia,yes,yes,yes,3
123,north_macedonia,yes,yes,yes,1
124,north_macedonia,yes,yes,yes,3
125,north_macedonia,yes,yes,yes,0
126,north_macedonia,yes,yes,yes,3
127,north_macedonia,yes,yes,yes,0
128,north_macedonia,yes,yes,yes,0
129,north_macedonia,yes,yes,yes,3
130,north_macedonia,yes,yes,yes,2
131,italy,yes,yes,yes,3
132,italy,yes,yes,yes,3
133,italy,yes,yes,yes,3
134,italy,yes,yes,yes,3
135,italy,yes,yes,yes,0
136,italy,yes,yes,yes,3
137,italy,yes,yes,yes,3
138,italy,yes,yes,yes,3
139,italy,yes,yes,yes,3
140,italy,yes,yes,yes,3
141,italy,yes,yes,yes,3
142,italy,yes,yes,yes,3
143,canada,yes,yes,yes,3
144,canada,yes,yes,yes,3
145,canada,yes,yes,yes,3
146,canada,yes,yes,yes,3
147,canada,yes,yes,yes,3
148,canada,yes,yes,yes,3
149,canada,yes,yes,yes,3
150,canada,yes,yes,yes,3
151,canada,yes,yes,yes,3
152,canada,yes,yes,yes,3
153,canada,yes,yes,yes,3
154,canada,yes,yes,yes,0
155,iraq,yes,yes,yes,0
156,iraq,yes,yes,yes,2
157,iraq,yes,yes,yes,0
158,iraq,yes,yes,yes,0
159,iraq,yes,yes,yes,3
160,iraq,yes,yes,yes,3
161,iraq,yes,yes,yes,2
162,iraq,yes,yes,yes,0
163,iraq,yes,yes,yes,2
164,iraq,yes,yes,yes,3
165,iraq,yes,yes,yes,3
166,iraq,yes,yes,yes,0
167,united_kingdom,yes,yes,yes,3
168,united_kingdom,yes,yes,yes,2
169,united_kingdom,yes,yes,yes,3
170,united_kingdom,yes,yes,yes,3
171,united_kingdom,no,yes,no,2
172,united_kingdom,yes,yes,yes,0
173,united_kingdom,yes,yes,yes,2
174,united_kingdom,yes,yes,yes,3
175,united_kingdom,yes,yes,yes,3
176,singapore,yes,yes,yes,3
177,singapore,yes,yes,yes,3
178,singapore,yes,yes,yes,3
179,singapore,yes,yes,yes,3
180,singapore,yes,yes,yes,3
181,singapore,yes,yes,yes,0
182,singapore,yes,yes,yes,3
183,singapore,yes,yes,yes,3
184,singapore,yes,yes,yes,3
185,singapore,yes,yes,yes,3
186,singapore,yes,yes,yes,3
187,singapore,yes,yes,yes,3
188,timor-leste,no,yes,yes,1
189,timor-leste,yes,yes,yes,0
190,timor-leste,yes,yes,yes,2
191,timor-leste,yes,yes,yes,3
192,timor-leste,yes,yes,yes,3
193,timor-leste,yes,yes,yes,2
194,timor-leste,yes,yes,yes,3
195,timor-leste,yes,yes,yes,2
196,timor-leste,yes,yes,yes,3
197,timor-leste,yes,yes,yes,3
198,timor-leste,yes,yes,yes,3
199,timor-leste,yes,yes,yes,3
200,poland,yes,yes,yes,3
201,poland,yes,yes,yes,3
202,poland,yes,yes,yes,3
203,poland,yes,yes,yes,0
204,poland,yes,yes,yes,3
205,poland,yes,yes,yes,0
206,poland,yes,yes,yes,0
207,poland,yes,yes,yes,0
208,poland,yes,yes,yes,0
209,poland,yes,yes,yes,0
210,poland,yes,yes,yes,2
211,poland,yes,yes,yes,3
212,pakistan,yes,yes,yes,3
213,pakistan,yes,yes,no,2
214,pakistan,yes,yes,yes,3
215,pakistan,yes,yes,yes,3
216,pakistan,yes,yes,yes,3
217,pakistan,yes,yes,yes,3
218,pakistan,yes,yes,yes,3
219,pakistan,yes,yes,yes,3
220,pakistan,yes,yes,yes,3
221,pakistan,yes,yes,yes,2
222,pakistan,yes,yes,yes,3
223,pakistan,yes,yes,yes,3
224,mexico,yes,yes,yes,3
225,mexico,yes,yes,yes,3
226,mexico,yes,yes,yes,0
227,mexico,yes,yes,yes,3
228,mexico,yes,yes,yes,3
229,mexico,yes,yes,yes,3
230,mexico,yes,yes,yes,0
231,mexico,yes,yes,yes,3
232,mexico,yes,yes,yes,0
233,mexico,yes,yes,yes,3
234,mexico,yes,yes,yes,0
