row_index,country,gold,initial,final,cluster
0,egypt,yes,yes,yes,3
1,egypt,yes,yes,yes,2
2,egypt,yes,yes,yes,3
3,egypt,yes,yes,yes,1
4,egypt,yes,yes,yes,1
5,egypt,yes,yes,yes,1
6,egypt,yes,yes,yes,2
7,egypt,yes,yes,yes,2
8,egypt,yes,yes,yes,0
9,egypt,yes,yes,yes,1
10,egypt,yes,yes,yes,1
11,egypt,yes,yes,yes,0
12,lebanon,yes,yes,yes,1
13,lebanon,yes,no,yes,1
14,lebanon,yes,yes,yes,2
15,lebanon,yes,yes,yes,3
16,lebanon,yes,yes,yes,0
17,lebanon,yes,yes,yes,1
18,lebanon,yes,yes,yes,1
19,lebanon,yes,yes,yes,2
20,lebanon,yes,yes,yes,3
21,zimbabwe,yes,yes,yes,2
22,zimbabwe,yes,yes,yes,3
23,zimbabwe,yes,yes,yes,0
24,zimbabwe,yes,yes,yes,2
25,zimbabwe,yes,yes,yes,1
26,zimbabwe,yes,yes,yes,2
27,zimbabwe,yes,yes,yes,1
28,zimbabwe,yes,yes,yes,1
29,zimbabwe,yes,yes,yes,3
30,zimbabwe,yes,yes,yes,0
31,zimbabwe,yes,yes,yes,3
32,zimbabwe,yes,yes,yes,3
33,philippines,yes,yes,yes,3
34,philippines,yes,yes,yes,1
35,philippines,yes,yes,yes,2
36,philippines,yes,yes,yes,1
37,philippines,yes,yes,yes,3
38,philippines,yes,yes,yes,2
39,philippines,yes,yes,yes,3
40,philippines,yes,yes,yes,3
41,philippines,yes,yes,neutral,3
42,philippines,yes,yes,neutral,2
43,philippines,yes,yes,yes,3
44,philippines,yes,yes,yes,1
45,sudan,yes,yes,neutral,1
46,sudan,yes,yes,neutral,1
47,sudan,yes,yes,neutral,1
48,sudan,yes,yes,yes,1
49,sudan,yes,yes,neutral,1
50,sudan,yes,yes,neutral,3
51,sudan,yes,yes,neutral,2
52,sudan,yes,yes,neutral,2
53,sudan,yes,yes,yes,1
54,sudan,yes,yes,neutral,3
55,sudan,yes,yes,neutral,3
56,sudan,yes,yes,neutral,0
57,sudan,yes,yes,neutral,3
58,sudan,yes,yes,neutral,1
59,sudan,yes,yes,neutral,1
60,spain,yes,yes,neutral,0
61,spain,yes,yes,yes,2
62,spain,yes,yes,yes,3
63,spain,yes,yes,neutral,1
64,spain,yes,yes,yes,3
65,spain,yes,yes,neutral,0
66,spain,yes,yes,yes,3
67,spain,yes,yes,yes,0
68,spain,yes,yes,yes,0
69,spain,yes,yes,yes,1
70,spain,yes,yes,yes,0
71,spain,yes,yes,yes,1
72,tonga,yes,yes,neutral,3
73,tonga,yes,yes,yes,1
74,tonga,yes,yes,yes,2
75,tonga,yes,yes,yes,2
76,tonga,yes,yes,yes,2
77,tonga,yes,yes,yes,1
78,tonga,yes,yes,neutral,3
79,tonga,yes,yes,neutral,3
80,tonga,yes,yes,yes,0
81,tonga,yes,yes,neutral,0
82,tonga,yes,yes,yes,3
83,tonga,yes,yes,yes,3
84,hong_kong,yes,yes,yes,3
85,hong_kong,yes,yes,neutral,1
86,hong_kong,yes,yes,neutral,3
87,hong_kong,yes,yes,yes,1
88,hong_kong,yes,yes,yes,0
89,hong_kong,yes,yes,neutral,3
90,hong_kong,yes,yes,yes,2
91,hong_kong,yes,yes,yes,2
92,hong_kong,yes,yes,neutral,1
93,hong_kong,yes,yes,neutral,0
94,hong_kong,yes,yes,neutral,1
95,hong_kong,yes,yes,yes,0
96,colombia,yes,yes,yes,1
97,colombia,yes,yes,yes,1
98,colombia,yes,yes,yes,3
99,colombia,yes,yes,yes,1
100,colombia,yes,yes,yes,2
101,colombia,yes,no,neutral,1
102,colombia,yes,yes,yes,1
103,colombia,yes,yes,neutral,3
104,colombia,yes,yes,neutral,3
105,colombia,yes,yes,yes,3
106,colombia,yes,yes,neutral,0
107,colombia,yes,yes,neutral,3
108,vietnam,yes,yes,neutral,1
109,vietnam,yes,yes,yes,1
110,vietnam,yes,yes,yes,3
111,vietnam,yes,yes,yes,3
112,vietnam,yes,yes,yes,3
113,vietnam,yes,yes,yes,2
114,vietnam,yes,yes,yes,3
115,vietnam,yes,yes,neutral,1
116,vietnam,yes,yes,neutral,1
117,vietnam,yes,yes,neutral,3
118,vietnam,yes,yes,neutral,3
119,vietnam,yes,yes,neutral,1
120,north_macedonia,yes,yes,no,1
